127.0.0.1 - - [10/Jan/2022:09:39:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:51 +0900] "GET /nearby/resources/image/board1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:51 +0900] "GET /nearby/resources/image/app_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:51 +0900] "GET /nearby/resources/image/logo_white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:51 +0900] "GET /nearby/resources/image/board2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:51 +0900] "GET /nearby/resources/image/logo_color.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:51 +0900] "GET /nearby/ HTTP/1.1" 200 17878
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:51 +0900] "GET /nearby/resources/image/titleImg3.png HTTP/1.1" 200 2206
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:53 +0900] "GET /nearby/member/agreement HTTP/1.1" 200 33521
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:56 +0900] "GET /nearby/member/memberJoin?check_all=on&check1=on&check2=on&check3=on&check4=on HTTP/1.1" 200 5962
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:56 +0900] "GET /nearby/resources/js/join.js HTTP/1.1" 200 14281
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:56 +0900] "GET /nearby/resources/css/join.css HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:58 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:39:59 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:07 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:07 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:07 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:16 +0900] "POST /nearby/member/selectByEmail HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:27 +0900] "POST /nearby/member/sendAuthCode HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:35 +0900] "POST /nearby/member/insertMember HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:37 +0900] "GET /nearby HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:37 +0900] "GET /nearby/ HTTP/1.1" 200 17878
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:43 +0900] "GET /nearby/member/agreement HTTP/1.1" 200 33521
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:46 +0900] "GET /nearby/member/memberJoin?check_all=on&check1=on&check2=on&check3=on&check4=on HTTP/1.1" 200 5962
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:48 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:48 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:40:56 +0900] "POST /nearby/member/selectByEmail HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:02 +0900] "POST /nearby/member/sendAuthCode HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:11 +0900] "POST /nearby/member/insertMember HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:12 +0900] "GET /nearby HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:12 +0900] "GET /nearby/ HTTP/1.1" 200 17878
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:16 +0900] "GET /nearby/member/agreement HTTP/1.1" 200 33521
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:18 +0900] "GET /nearby/member/memberJoin?check_all=on&check1=on&check2=on&check3=on&check4=on HTTP/1.1" 200 5962
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:20 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:20 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:27 +0900] "POST /nearby/member/selectByEmail HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:34 +0900] "POST /nearby/member/sendAuthCode HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:45 +0900] "POST /nearby/member/insertMember HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:46 +0900] "GET /nearby HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:46 +0900] "GET /nearby/ HTTP/1.1" 200 17878
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:53 +0900] "POST /nearby/member/login HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:53 +0900] "GET /nearby/resources/css/admin/admin.css HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:53 +0900] "GET /nearby/admin/admin HTTP/1.1" 200 12099
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:53 +0900] "GET /nearby/resources/css/admin/adminHeader.css HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:58 +0900] "GET /nearby/resources/css/admin/memberManage.css HTTP/1.1" 200 2419
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:41:58 +0900] "GET /nearby/admin/findMember?column=ID&query=a HTTP/1.1" 200 8711
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:00 +0900] "GET /nearby/admin/admin HTTP/1.1" 200 12099
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:02 +0900] "GET /nearby/admin/findMember HTTP/1.1" 200 8683
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:06 +0900] "GET /nearby/admin/findMember?column=EMAIL&query=a HTTP/1.1" 200 8711
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:09 +0900] "GET /nearby/admin/findMember?column=BIRTHDAY&query=a HTTP/1.1" 200 8056
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:12 +0900] "GET /nearby/admin/findMember?column=ID&query=0 HTTP/1.1" 200 8050
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:15 +0900] "GET /nearby/admin/findMember?column=ID&query=19 HTTP/1.1" 200 8052
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:20 +0900] "GET /nearby/admin/findMember?column=BIRTHDAY&query=19 HTTP/1.1" 200 8712
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:28 +0900] "GET /nearby/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:28 +0900] "GET /nearby/ HTTP/1.1" 200 17878
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:31 +0900] "GET /nearby/member/agreement HTTP/1.1" 200 33521
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:33 +0900] "GET /nearby/member/memberJoin?check_all=on&check1=on&check2=on&check3=on&check4=on HTTP/1.1" 200 5962
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:35 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:35 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:36 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:48 +0900] "POST /nearby/member/selectByEmail HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:42:52 +0900] "POST /nearby/member/sendAuthCode HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:02 +0900] "POST /nearby/member/insertMember HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:03 +0900] "GET /nearby HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:03 +0900] "GET /nearby/ HTTP/1.1" 200 17878
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:05 +0900] "GET /nearby/member/agreement HTTP/1.1" 200 33521
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:07 +0900] "GET /nearby/member/memberJoin?check_all=on&check1=on&check2=on&check3=on&check4=on HTTP/1.1" 200 5962
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:09 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:09 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:09 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:09 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:10 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:10 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:10 +0900] "POST /nearby/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:22 +0900] "POST /nearby/member/selectByEmail HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:27 +0900] "POST /nearby/member/sendAuthCode HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:36 +0900] "POST /nearby/member/insertMember HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:37 +0900] "GET /nearby HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:37 +0900] "GET /nearby/ HTTP/1.1" 200 17878
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:42 +0900] "POST /nearby/member/login HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:42 +0900] "GET /nearby/resources/css/header.css HTTP/1.1" 200 4430
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:42 +0900] "GET /nearby/resources/css/board/boardView.css HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:42 +0900] "GET /nearby/resources/css/outputReplyOnly.css HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:43 +0900] "GET /nearby/board/boardList HTTP/1.1" 200 11676
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:43 +0900] "GET /nearby/resources/image/profile_default.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:44 +0900] "GET /nearby/board/insertPage HTTP/1.1" 200 18950
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:43:44 +0900] "GET /nearby/resources/css/board/boardInsert.css HTTP/1.1" 200 5328
0:0:0:0:0:0:0:1 - - [10/Jan/2022:09:44:04 +0900] "POST /nearby/board/insertBoard HTTP/1.1" 200 62
